game_id,date,home_team,home_score,away_team,away_score,win_score,lose_score,win_team,lose_team,win_points,lose_points,win_point_diff,lose_point_diff
2812,2018-09-04,Russia,3,Bosnia and Herzegovina,0,3,0,Russia,Bosnia and Herzegovina,1702,1373,329,-329
2813,2018-09-04,Kazakhstan,0,England,6,6,0,England,Kazakhstan,2026,1353,673,-673
2814,2018-09-04,Poland,0,Switzerland,0,0,0,Poland,Switzerland,1629,1861,-232,232
2815,2018-09-04,Albania,1,Scotland,2,2,1,Scotland,Albania,1801,1325,476,-476
2816,2018-09-04,Norway,2,Netherlands,1,2,1,Norway,Netherlands,1887,1977,-90,90
2817,2018-09-04,Northern Ireland,0,Slovakia,1,1,0,Slovakia,Northern Ireland,1503,1419,84,-84
2818,2018-09-04,Denmark,0,Sweden,1,1,0,Sweden,Denmark,1941,1903,38,-38
2819,2018-09-04,Ukraine,2,Hungary,0,2,0,Ukraine,Hungary,1731,1537,194,-194
2820,2018-09-04,Iceland,1,Czech Republic,1,1,1,Iceland,Czech Republic,1823,1648,175,-175
2821,2018-09-04,Faroe Islands,0,Germany,8,8,0,Germany,Faroe Islands,2049,1272,777,-777
2822,2018-09-04,Belgium,2,Italy,1,2,1,Belgium,Italy,1773,1870,-97,97
2823,2018-09-04,Portugal,5,Romania,1,5,1,Portugal,Romania,1644,1567,77,-77
2824,2018-09-04,Austria,4,Finland,1,4,1,Austria,Finland,1794,1678,116,-116
2825,2018-09-04,Spain,3,Serbia,0,3,0,Spain,Serbia,1911,1545,366,-366
2826,2018-09-05,USA,4,Chile,0,4,0,USA,Chile,2114,1594,520,-520
2827,2018-10-04,Trinidad and Tobago,0,Panama,3,3,0,Panama,Trinidad and Tobago,1376,1443,-67,67
2828,2018-10-04,USA,6,Mexico,0,6,0,USA,Mexico,2114,1732,382,-382
2829,2018-10-05,Puerto Rico,10,Anguilla,0,10,0,Puerto Rico,Anguilla,1166,697,469,-469
2830,2018-10-05,Dominican Republic,1,Cuba,5,5,1,Cuba,Dominican Republic,1238,1169,69,-69
2831,2018-10-05,Costa Rica,8,Cuba,0,8,0,Costa Rica,Cuba,1658,1238,420,-420
2832,2018-10-05,Canada,2,Jamaica,0,2,0,Canada,Jamaica,2014,1387,627,-627
2833,2018-10-05,Netherlands,2,Denmark,0,2,0,Netherlands,Denmark,1963,1864,99,-99
2834,2018-10-05,Belgium,2,Switzerland,2,2,2,Belgium,Switzerland,1797,1840,-43,43
2835,2018-10-07,USA,5,Panama,0,5,0,USA,Panama,2114,1376,738,-738
2836,2018-10-07,Mexico,4,Trinidad and Tobago,1,4,1,Mexico,Trinidad and Tobago,1732,1443,289,-289
2837,2018-10-08,Jamaica,1,Costa Rica,0,1,0,Jamaica,Costa Rica,1387,1658,-271,271
2838,2018-10-08,Cuba,0,Canada,12,12,0,Canada,Cuba,2014,1238,776,-776
2839,2018-10-09,Denmark,1,Netherlands,2,2,1,Netherlands,Denmark,1963,1864,99,-99
2840,2018-10-09,Switzerland,1,Belgium,1,1,1,Switzerland,Belgium,1840,1797,43,-43
2841,2018-10-10,Panama,2,Mexico,0,2,0,Panama,Mexico,1376,1732,-356,356
2842,2018-10-10,USA,7,Trinidad and Tobago,0,7,0,USA,Trinidad and Tobago,2114,1443,671,-671
2843,2018-10-11,Cuba,0,Jamaica,9,9,0,Jamaica,Cuba,1387,1238,149,-149
2844,2018-10-11,Costa Rica,1,Canada,3,3,1,Canada,Costa Rica,2014,1658,356,-356
2845,2018-10-14,Panama,0,Canada,7,7,0,Canada,Panama,2014,1376,638,-638
2846,2018-10-14,USA,6,Jamaica,0,6,0,USA,Jamaica,2114,1387,727,-727
2847,2018-10-17,Panama,2,Jamaica,2,2,2,Panama,Jamaica,1376,1387,-11,11
2848,2018-10-17,USA,2,Canada,0,2,0,USA,Canada,2114,2014,100,-100
2849,2018-11-08,Portugal,0,USA,1,1,0,USA,Portugal,2114,1659,455,-455
2850,2018-11-08,Argentina,4,Panama,0,4,0,Argentina,Panama,1633,1376,257,-257
2851,2018-11-09,Netherlands,3,Switzerland,0,3,0,Netherlands,Switzerland,1963,1840,123,-123
2852,2018-11-13,Switzerland,1,Netherlands,1,1,1,Switzerland,Netherlands,1840,1963,-123,123
2853,2018-11-13,Panama,1,Argentina,1,1,1,Panama,Argentina,1376,1633,-257,257
2854,2018-11-14,Scotland,0,USA,1,1,0,USA,Scotland,2114,1811,303,-303
2855,2018-11-17,Ghana,1,Algeria,0,1,0,Ghana,Algeria,1503,1294,209,-209
2856,2018-11-17,Mali,1,Cameroon,2,2,1,Cameroon,Mali,1478,1232,246,-246
2857,2018-11-18,Nigeria,0,South Africa,1,1,0,South Africa,Nigeria,1446,1607,-161,161
2858,2018-11-18,Zambia,5,Equatorial Guinea,0,5,0,Zambia,Equatorial Guinea,1053,1421,-368,368
2859,2018-11-18,Samoa,0,Papua New Guinea,5,5,0,Papua New Guinea,Samoa,1473,1138,335,-335
2860,2018-11-18,New Caledonia,4,Tahiti,2,4,2,New Caledonia,Tahiti,1252,1238,14,-14
2861,2018-11-19,New Zealand,11,Tonga,0,11,0,New Zealand,Tonga,1810,1258,552,-552
2862,2018-11-19,Cook Islands,0,Fiji,3,3,0,Fiji,Cook Islands,1286,1185,101,-101
2863,2018-11-20,Ghana,1,Mali,2,2,1,Mali,Ghana,1232,1503,-271,271
2864,2018-11-20,Cameroon,3,Algeria,0,3,0,Cameroon,Algeria,1478,1294,184,-184
2865,2018-11-21,Nigeria,4,Zambia,0,4,0,Nigeria,Zambia,1607,1053,554,-554
